question,answer,source_page
"What is the fine for operating a recreational drone within Banff National Park boundaries?","Anyone caught operating a drone within park boundaries may face law enforcement action and a fine of up to $25,000.","https://parks.canada.ca/pn-np/ab/banff"
"What are the dates for the Canada Strong Pass offering free admission and 25% off camping in Banff National Park?","The Canada Strong Pass is in effect from June 19 to September 7, 2026.","https://parks.canada.ca/pn-np/ab/banff"
"How can visitors reach Lake Louise and Moraine Lake in Banff National Park?","Taking transit is the guaranteed way to see both lakes, and reservations are required.","https://parks.canada.ca/pn-np/ab/banff"
"What is the telephone number for the Banff Dispatch Service for non-urgent calls?","The Banff Dispatch Service can be reached 24 hours a day at 1-403-762-1470.","https://parks.canada.ca/pn-np/ab/banff"
"How long is the paved path from Canmore to the Bow Valley Parkway in Banff National Park?","The paved path is 29 km long.","https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10"
"What are the dates for the spring mandatory travel restriction on the Bow Valley Parkway in Banff National Park?","The spring travel restriction runs from April 30 to June 25, restricting travel between 8 p.m. and 8 a.m.","https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway"
"Are e-bikes allowed on the Bow Valley Parkway in Banff National Park?","Yes, e-bikes are permitted on the Bow Valley Parkway and the Banff Legacy Trail.","https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway"
"How long is the hike to the summit of Tunnel Mountain in Banff National Park?","The trail to the summit of Tunnel Mountain is 2.4 km.","https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10"
"Where should visitors park their vehicles if planning to use the Bow Valley Parkway Cycling Pilot?","Visitors should park at the Banff Train Station parking lot accessible via the Mount Norquay Road entrance.","https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway"
"What natural history museum in Banff National Park has over 5,000 vintage botanical and zoological specimens?","The Banff Park Museum National Historic Site.","https://parks.canada.ca/pn-np/ab/banff"
"What is the recommended maximum backpack weight for hiking the West Coast Trail in Pacific Rim National Park Reserve?","Your pack should weigh no more than 15-20% of your body weight.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"Between which dates is the West Coast Trail in Pacific Rim National Park Reserve open to overnight visitors?","The West Coast Trail is open to overnight visitors from May 1 to September 30.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"What is the minimum age for a hiker to receive an overnight permit for the West Coast Trail?","All hikers must be at least 6 years old to get an overnight permit.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"How much is the West Coast Trail Backcountry Use Permit fee?","The West Coast Trail Backcountry Use Permit fee is $184.75.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"Where are the three entry and exit points for the West Coast Trail in Pacific Rim National Park Reserve?","The entry and exit points are Pachena Bay (north), Balaats’adt (Nitinaht Village) (mid-point), and Gordon River (south).","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"What water temperature range should surfers expect in Pacific Rim National Park Reserve during the summer?","The water temperature ranges from 7ºC to 14ºC.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/surf"
"How thick should a wetsuit be for surfing in Pacific Rim National Park Reserve during the winter?","A 5mm wetsuit is highly recommended in the winter.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/surf"
"When does the Broken Group Islands in Pacific Rim National Park Reserve close to overnight camping annually?","The Broken Group Islands are closed to all overnight camping annually between October 1 and April 30.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/broken-group"
"What is the maximum group size for camping in the Broken Group Islands of Pacific Rim National Park Reserve?","The maximum group size is 12 people.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/broken-group"
"What is the phone number for the Pacific Rim National Park Reserve Administration Office?","The phone number is 250-726-3500.","https://parks.canada.ca/pn-np/bc/pacificrim/activ/sco-wct"
"How many species of whales frequent the waters of the Saguenay–St. Lawrence Marine Park?","There are 13 species of whales that frequent its waters.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/observation-watching"
"What exhibition is housed in the lightkeeper's house at the Cap-de-Bon-Désir Interpretation and Observation Centre?","The 'On the Lookout' exhibition.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/decouverte-tours"
"How long is the immersive Deep-Sea Reveries multimedia experience at the Marine Environment Discovery Centre?","The duration is 20 minutes.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/decouverte-tours"
"Where is the Pointe-Noire Interpretation and Observation Centre located?","It is located in Baie-Sainte-Catherine.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/observation-watching"
"Where is the Marine Environment Discovery Centre located in the Saguenay–St. Lawrence Marine Park?","It is located at 41 rue des Pilotes, Les Escoumins QC G0T 1K0.","https://parks.canada.ca/amnc-nmca/qc/saguenay/visit/cdmm"
"What is the telephone number for the Saguenay–St. Lawrence Marine Park administration?","The telephone number is 418-235-4703.","https://parks.canada.ca/amnc-nmca/qc/saguenay"
"Between what dates are the Parks Canada Interpretation Centres in the Saguenay-St. Lawrence Marine Park open in 2025?","From June 21 to October 13, 2025.","https://parks.canada.ca/amnc-nmca/qc/saguenay"
"When does the 'Whales at risk, it's our move!' activity run at the Pointe-Noire Interpretation and Observation Centre?","Between 1:30 p.m. and 3 p.m. from June 24 to September 7, 2026, Wednesday to Sunday.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/decouverte-tours"
"At what time is the discovery activity showcasing seabed animals offered at the Marine Environment Discovery Centre from July 11 to August 12, 2026?","It is offered on Wednesday and Saturday at 10:30 a.m.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/decouverte-tours"
"Which endangered whale species are noted as being at home in the Saguenay-St. Lawrence Marine Park?","The beluga and the blue whale.","https://parks.canada.ca/amnc-nmca/qc/saguenay/activ/decouverte-tours"
"When does elk calving season occur in Jasper National Park?","Elk calving occurs from May 15 until June 30.","https://parks.canada.ca/pn-np/ab/jasper/activ/experience/printemps-spring"
"What is the phone number for the Jasper Information Centre?","The phone number is 780-852-6176.","https://parks.canada.ca/pn-np/ab/jasper"
"What early-flowering plant blooms in April in Jasper National Park with a pale purple flower and bright yellow center?","The Prairie Crocus.","https://parks.canada.ca/pn-np/ab/jasper/activ/experience/printemps-spring"
"How many caribou from the Brazeau herd currently exist in Jasper National Park?","There are fewer than 10 caribou in the Brazeau herd.","https://parks.canada.ca/pn-np/ab/jasper/nature/conservation/retablissement-caribou-recovery"
"When did the last five caribou of the Banff herd die in an avalanche?","In 2009.","https://parks.canada.ca/pn-np/ab/jasper/nature/conservation/retablissement-caribou-recovery"
"What is the target population size for the wild Tonquin caribou herd within 10 years of releasing young caribou?","The goal is for the herd to reach at least 200 animals within 10 years.","https://parks.canada.ca/pn-np/ab/jasper/nature/conservation/retablissement-caribou-recovery"
"At what temperature does the natural hot springs water flow from the mountain at Miette Hot Springs in Jasper National Park?","The water flows from the mountain at 54°C (129°F).","https://parks.canada.ca/pn-np/ab/jasper/sources-miette-springs"
"What are the top two minerals found in the Miette Hot Springs in Jasper National Park?","Sulphate (1130 mg/l) and Calcium (307 mg/l).","https://parks.canada.ca/pn-np/ab/jasper/sources-miette-springs"
"What is the cooling temperature of the water as it enters the Miette Hot Springs pool?","It is cooled to a comfortable temperature of 40°C (104°F).","https://parks.canada.ca/pn-np/ab/jasper/sources-miette-springs"
"Which website or phone number should visitors check for current road conditions in Jasper National Park?","Call 511 or visit 511.alberta.ca.","https://parks.canada.ca/pn-np/ab/jasper/activ/experience/printemps-spring"
"What facility serves as the temporary visitor hub during the Rogers Pass Centre's rehabilitation in Glacier National Park?","Summit Station.","https://parks.canada.ca/pn-np/bc/glacier/visit/centre"
"What year was Rogers Pass designated as a national historic site within Glacier National Park?","Rogers Pass was designated as a national historic site in 1971.","https://parks.canada.ca/pn-np/bc/glacier/visit/centre"
"Which specific trail in Glacier National Park completely prohibits dogs?","Dogs are not allowed on the Balu Pass Trail or anywhere within the Connaught Creek drainage.","https://parks.canada.ca/pn-np/bc/glacier/activ/randonee-hiking"
"How far should hikers stay away from larger wildlife species like bears in Glacier National Park?","Hikers should maintain a distance of 100m for larger species such as bears.","https://parks.canada.ca/pn-np/bc/glacier/activ/randonee-hiking"
"What is the general inquiries phone number for Glacier National Park?","The general inquiries number is 250-837-7500.","https://parks.canada.ca/pn-np/bc/glacier"
"What is the email address to report wildlife sightings such as bears, cougars, or caribou in Glacier National Park?","Email mrg.wildlife@pc.gc.ca.","https://parks.canada.ca/pn-np/bc/glacier/activ/randonee-hiking"
"How deep should you bury solid human waste if no facilities are available while hiking in Glacier National Park?","Bury solid human waste in a hole 15 cm deep.","https://parks.canada.ca/pn-np/bc/glacier/activ/randonee-hiking"
"When are trail bridges typically removed for the winter in Glacier National Park?","Trail bridges are typically removed between late September and early October.","https://parks.canada.ca/pn-np/bc/glacier/activ/randonee-hiking"
"What highway provides vehicle access to Glacier National Park?","The Trans-Canada Highway (Highway 1).","https://parks.canada.ca/pn-np/bc/glacier"
"What is the address of the Rogers Pass Centre in Glacier National Park?","9520 Trans-Canada Highway, Rogers Pass BC V0E 2S0.","https://parks.canada.ca/pn-np/bc/glacier"
"When will the water activity restrictions aiming to reduce the spread of aquatic invasive species be lifted in Yoho National Park?","All waterbodies are closed to watercraft and angling until March 31, 2027.","https://parks.canada.ca/pn-np/bc/yoho"
"What is the maximum fine for illegally operating a recreational drone within Yoho National Park boundaries?","A fine of up to $25,000.","https://parks.canada.ca/pn-np/bc/yoho"
